valor_original,valor_homologado
KAZAJA,KAZAJO
PALESTINO/A,PALESTINO
LITUANO/NA,LITUANO
ND,NO DEFINIDO
PALAUANO/NA,PALAUANO
ESLOVENA,ESLOVENO
SURINAMES/ESA,SURINAMES
ISLANDESA,ISLANDES
GABONES/SA,GABONES
NIGERINA,NIGERINO
EXTRANJERO,EXTRANJERO
PAPU,PAPUANO
LUXEMBURGUES,LUXEMBURGUES
LESOTENSE,LESOTENSE
COREANO/A,COREANO
CHINO/NA,CHINO
BRASILEÑO/A,BRASILEÑO
RUSO/SA,RUSO
PORTUGUES/SA,PORTUGUES
INDONESIA,INDONESIO
FILIPINO/NA,FILIPINO
DOMINICANO/NA,DOMINICANO
GEORGIANA,GEORGIANO
NORCOREANA,NORCOREANO
CHECA,CHECO
LIBIA,LIBIO
HUNGARA,HUNGARO
YEMENI,YEMENI
SERBIA,SERBIO
AFGANA,AFGANO
IRLANDES/SA,IRLANDES
VACIO,NO DEFINIDO
SURCOREANO/NA,SURCOREANO
AUSTRIACO/CA,AUSTRIACO
ANDORRANO/NA,ANDORRANO
RUANDES/SA,RUANDES
TAILANDES/SA,TAILANDES
ALBANES,ALBANES
UZBEKA,UZBEKO
AFGANO/NA,AFGANO
ÅLANDES,ALANDES
NORUEGO/A,NORUEGO
BOSNIO/NIA,BOSNIO
PERUANO/A,PERUANO
BRITANICO/CA,BRITANICO
SURCOREANA,SURCOREANO
SUECA,SUECO
BULGARA,BULGARO
TAIWANES/SA,TAIWANES
SIRIO/RIA,SIRIO
NEERLANDESA,NEERLANDES
HAITIANO/A,HAITIANO
DANESA,DANES
NORUEGA,NORUEGO
MARROQUI,MARROQUI
TRINITENSE,TRINITENSE
ESRILANQUESA,ESRILANQUES
SINGAPURENSE,SINGAPURENSE
ANGOLEÑA,ANGOLEÑO
CROATA,CROATA
MOLDAVA,MOLDAVO
CABOVERDIANO/NA,CABOVERDIANO
PARAGUAYO/A,PARAGUAYO
MARFILENO/ÑA,MARFILEÑO
AUSTRALIANO/NA,AUSTRALIANO
COMORENSE,COMORENSE
TURCO/CA,TURCO
CENTROAFRICANA,CENTROAFRICANO
NEERLANDES/SA,NEERLANDES
ANGOLEÑO/ÑA,ANGOLEÑO
BELICEÑA,BELICEÑO
NIUEÑO,NIUEÑO
DE WALLIS Y FUTUNA,DE WALLIS Y FUTUNA
CENTROAFRICANO/NA,CENTROAFRICANO
BERMUDEÑO/ÑA,BERMUDEÑO
AZERBAIYANO/NA,AZERBAIYANO
DANES/SA,DANES
